epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,550.174,0.76499,0.38838,1.01957,0.99723,0.99749,0.99274,0.82242,0.75017,0.3174,0.95386,0.0011684,0.0011684,0.0011684
44,562.96,0.78422,0.39822,1.02678,0.99749,0.99724,0.9925,0.81792,0.77137,0.32045,0.95052,0.0011486,0.0011486,0.0011486
45,575.49,0.75798,0.38297,1.0196,0.99499,0.99713,0.99259,0.81616,0.74283,0.31462,0.94723,0.0011288,0.0011288,0.0011288
46,588.092,0.76845,0.39197,1.02265,0.99666,0.99497,0.99261,0.8104,0.79137,0.3215,0.95742,0.001109,0.001109,0.001109
47,600.59,0.77172,0.38407,1.00777,0.99719,0.99497,0.99301,0.82063,0.75692,0.31218,0.94491,0.0010892,0.0010892,0.0010892
48,612.98,0.76885,0.38129,1.02145,0.99678,0.99497,0.99482,0.81146,0.80464,0.32862,0.96722,0.0010694,0.0010694,0.0010694
49,625.455,0.76267,0.38668,1.02754,0.99749,0.99719,0.99467,0.83275,0.74712,0.30622,0.95124,0.0010496,0.0010496,0.0010496
50,638.044,0.75474,0.38004,1.02284,0.99723,0.99749,0.99485,0.82928,0.76757,0.31531,0.95826,0.0010298,0.0010298,0.0010298
51,650.637,0.75532,0.37522,1.01789,0.99722,0.99749,0.99251,0.82659,0.75148,0.30702,0.9334,0.00101,0.00101,0.00101
52,663,0.73661,0.36887,0.9951,0.99715,0.99749,0.99251,0.82533,0.74611,0.30164,0.94158,0.0009902,0.0009902,0.0009902
53,675.416,0.75947,0.37873,1.01865,0.9966,0.99246,0.99253,0.78365,0.83871,0.3294,0.98603,0.0009704,0.0009704,0.0009704
54,687.937,0.73021,0.36459,1.00017,0.99499,0.99724,0.99392,0.82346,0.74542,0.31445,0.94551,0.0009506,0.0009506,0.0009506
55,700.462,0.74291,0.35949,1.00386,0.99472,0.99749,0.99251,0.82621,0.73846,0.29934,0.93108,0.0009308,0.0009308,0.0009308
56,712.886,0.74223,0.36325,1.00363,0.99706,0.99497,0.99261,0.82531,0.72378,0.28909,0.92889,0.000911,0.000911,0.000911
57,725.684,0.73084,0.35834,0.99929,0.99713,0.99497,0.99251,0.81556,0.77603,0.30274,0.94683,0.0008912,0.0008912,0.0008912
58,738.412,0.72919,0.35691,0.99795,0.99227,0.99749,0.99245,0.82316,0.74614,0.29726,0.93518,0.0008714,0.0008714,0.0008714
59,751.12,0.71051,0.35591,0.99218,0.99473,0.99749,0.9925,0.82146,0.76214,0.29658,0.94206,0.0008516,0.0008516,0.0008516
60,763.56,0.73351,0.35619,1.00287,0.99463,0.99749,0.99283,0.82224,0.7421,0.29256,0.9369,0.0008318,0.0008318,0.0008318
61,776.014,0.72574,0.3537,0.99251,0.99738,0.99749,0.99251,0.83096,0.76271,0.29467,0.94116,0.000812,0.000812,0.000812
62,789.223,0.72478,0.35461,1.00299,0.99722,0.99749,0.99251,0.83321,0.72907,0.28475,0.92997,0.0007922,0.0007922,0.0007922
63,802.045,0.71109,0.35216,0.99893,0.99721,0.99749,0.99251,0.82912,0.73318,0.29006,0.93394,0.0007724,0.0007724,0.0007724
64,814.835,0.71876,0.35966,0.99729,0.9971,0.99749,0.99259,0.83249,0.7245,0.28483,0.93546,0.0007526,0.0007526,0.0007526
65,827.913,0.71559,0.34468,0.99553,0.99744,0.99749,0.99337,0.83258,0.7242,0.29408,0.93447,0.0007328,0.0007328,0.0007328
66,841.56,0.71468,0.35129,1.00122,0.99494,0.99749,0.99462,0.83817,0.72037,0.2884,0.93357,0.000713,0.000713,0.000713
67,854.448,0.68915,0.33375,0.98438,0.99723,0.99749,0.99317,0.83364,0.72552,0.28523,0.93966,0.0006932,0.0006932,0.0006932
68,866.939,0.70431,0.34252,0.99075,0.99453,0.99749,0.99347,0.83767,0.72414,0.28863,0.92945,0.0006734,0.0006734,0.0006734
69,879.936,0.69111,0.33864,0.99277,0.99728,0.99749,0.99281,0.82682,0.75475,0.29251,0.93928,0.0006536,0.0006536,0.0006536
70,892.454,0.68833,0.33546,0.98086,0.99737,0.99749,0.9925,0.83247,0.72506,0.27567,0.92818,0.0006338,0.0006338,0.0006338
71,904.977,0.69263,0.33791,0.99225,0.99484,0.99749,0.99331,0.83339,0.72436,0.27488,0.92961,0.000614,0.000614,0.000614
72,917.349,0.67334,0.32645,0.98088,0.9949,0.99749,0.99472,0.83131,0.74362,0.27857,0.93759,0.0005942,0.0005942,0.0005942
73,929.77,0.68019,0.32334,0.97911,0.99749,0.9974,0.99462,0.84622,0.71291,0.27724,0.93206,0.0005744,0.0005744,0.0005744
74,942.308,0.68375,0.33022,0.97965,0.99749,0.99727,0.99379,0.83808,0.72862,0.27619,0.93023,0.0005546,0.0005546,0.0005546
75,954.8,0.65764,0.31525,0.97051,0.99498,0.99685,0.99417,0.83923,0.72146,0.27509,0.92767,0.0005348,0.0005348,0.0005348
76,967.319,0.67607,0.32737,0.98883,0.99736,0.99749,0.99359,0.83343,0.72971,0.28496,0.93894,0.000515,0.000515,0.000515
77,979.883,0.68186,0.32254,0.98472,0.99729,0.99749,0.99259,0.82942,0.74023,0.2786,0.94556,0.0004952,0.0004952,0.0004952
78,992.324,0.67395,0.32016,0.9829,0.99732,0.99749,0.99251,0.83907,0.7245,0.27195,0.93212,0.0004754,0.0004754,0.0004754
79,1004.79,0.6654,0.3207,0.97504,0.99743,0.99749,0.99329,0.83697,0.7365,0.27603,0.92454,0.0004556,0.0004556,0.0004556
80,1017.31,0.65406,0.30923,0.97019,0.9973,0.99749,0.99251,0.83207,0.72491,0.26773,0.92598,0.0004358,0.0004358,0.0004358
81,1029.87,0.647,0.30753,0.96204,0.99735,0.99749,0.99251,0.83862,0.71689,0.26327,0.92212,0.000416,0.000416,0.000416
82,1042.48,0.66335,0.31366,0.97236,0.99749,0.99727,0.99254,0.84177,0.70515,0.26388,0.92199,0.0003962,0.0003962,0.0003962
83,1055.01,0.64605,0.30901,0.96596,0.9973,0.99749,0.99261,0.83358,0.72118,0.26169,0.9301,0.0003764,0.0003764,0.0003764
84,1067.5,0.64547,0.30615,0.9695,0.99749,0.99745,0.99254,0.82997,0.73986,0.26967,0.94183,0.0003566,0.0003566,0.0003566
85,1080.09,0.65039,0.30618,0.96757,0.99722,0.99749,0.99251,0.83868,0.71974,0.25951,0.93157,0.0003368,0.0003368,0.0003368
86,1092.44,0.64183,0.30244,0.97403,0.99729,0.99749,0.99251,0.8413,0.71255,0.26146,0.92644,0.000317,0.000317,0.000317
87,1104.84,0.63393,0.29705,0.97165,0.99742,0.99749,0.99256,0.84263,0.70774,0.25823,0.9245,0.0002972,0.0002972,0.0002972
88,1117.46,0.6345,0.29571,0.96323,0.99745,0.99749,0.99269,0.83498,0.74199,0.2651,0.93699,0.0002774,0.0002774,0.0002774
89,1130.58,0.63559,0.29913,0.96775,0.99733,0.99749,0.99264,0.8392,0.72102,0.25604,0.92676,0.0002576,0.0002576,0.0002576
90,1143.08,0.62527,0.29275,0.96263,0.99736,0.99749,0.99279,0.84592,0.70499,0.25319,0.92286,0.0002378,0.0002378,0.0002378
91,1190.67,0.59703,0.24787,0.91653,0.9973,0.99749,0.99415,0.83479,0.71158,0.25784,0.92292,0.000218,0.000218,0.000218
92,1203.49,0.58831,0.24033,0.91113,0.99731,0.99749,0.99359,0.83632,0.71391,0.26308,0.92412,0.0001982,0.0001982,0.0001982
93,1215.96,0.57966,0.24117,0.90554,0.99733,0.99749,0.99322,0.83822,0.72103,0.26066,0.92946,0.0001784,0.0001784,0.0001784
94,1228.44,0.57752,0.23918,0.90783,0.99732,0.99749,0.99269,0.84028,0.71285,0.25582,0.92651,0.0001586,0.0001586,0.0001586
95,1241.04,0.56611,0.23315,0.9046,0.99734,0.99749,0.99256,0.84047,0.70944,0.25436,0.92701,0.0001388,0.0001388,0.0001388
96,1253.36,0.5588,0.22934,0.90198,0.99736,0.99749,0.99254,0.83566,0.71601,0.25681,0.92739,0.000119,0.000119,0.000119
97,1265.97,0.5652,0.22994,0.8986,0.99735,0.99749,0.99251,0.84045,0.71438,0.25531,0.92862,9.92e-05,9.92e-05,9.92e-05
98,1278.61,0.55665,0.22697,0.90241,0.99736,0.99749,0.99256,0.84273,0.71179,0.25481,0.92769,7.94e-05,7.94e-05,7.94e-05
99,1291.09,0.55126,0.22532,0.89554,0.99738,0.99749,0.99271,0.8412,0.71131,0.25567,0.93008,5.96e-05,5.96e-05,5.96e-05
100,1303.56,0.55579,0.22515,0.89473,0.99738,0.99749,0.99261,0.83957,0.70554,0.25226,0.92766,3.98e-05,3.98e-05,3.98e-05
